,Trip,Latitude[deg],Vehicle Speed[km/h],Air Conditioning Power[Watts],Heater Power[Watts],Power drained(kW),Longitude[deg],Nos
0,1625,42.28176194,18.48999977,0,0,-15.98,-83.75096694,1
1,1625,42.28176194,24.01999855,0,0,-21.996,-83.75096694,1
2,1625,42.28176194,24.01999855,0,0,-15.98,-83.75096694,1
3,1625,42.28176194,29.38999939,0,0,-26.884,-83.75096694,1
4,1625,42.28176194,29.38999939,0,0,-26.27625,-83.75096694,1
5,1625,42.28176194,29.38999939,0,0,-21.996,-83.75096694,1
6,1625,42.28176194,35.36999893,0,0,-29.4,-83.75096694,1
7,1625,42.28176194,35.36999893,0,0,-26.27625,-83.75096694,1
8,1625,42.28188139,0.0,300,0,-0.379,-83.75097417,1
9,1625,42.28188139,5.900000095,0,0,-16.168,-83.75097417,1
10,1625,42.28188139,5.900000095,300,0,-16.168,-83.75097417,1
11,1625,42.28188139,5.900000095,300,0,-0.379,-83.75097417,1
12,1625,42.28188139,5.900000095,300,0,-0.376,-83.75097417,1
13,1625,42.28188139,13.40999985,0,0,-16.168,-83.75097417,1
14,1625,42.28188139,18.48999977,0,0,-16.168,-83.75097417,1
15,1625,42.28188139,18.48999977,0,0,-15.98,-83.75097417,1
16,1625,42.28195861,0.0,300,0,-1.32475,-83.75108944,1
17,1625,42.28195861,0.0,300,0,-1.1355,-83.75108944,1
18,1625,42.28195861,0.0,300,0,-0.94625,-83.75108944,2
19,1625,42.28195861,0.0,300,0,-0.757,-83.75108944,1
20,1625,42.28195861,0.0,300,0,-0.379,-83.75108944,1
21,1625,42.28195861,0.0,300,0,-0.3785,-83.75108944,1
22,1625,42.28195861,0.0,350,0,-1.1355,-83.75108944,1
23,1625,42.28195861,0.0,350,0,0.18925,-83.75108944,1
24,1625,42.28195861,0.0,350,0,0.19025,-83.75108944,1
25,1625,42.28195861,4.659999847,350,0,0.19025,-83.75108944,1
26,1625,42.28195861,4.659999847,350,0,2.6635,-83.75108944,1
27,1625,42.28195861,13.25,350,0,2.6635,-83.75108944,1
28,1625,42.28205917,13.25,350,0,2.6635,-83.75111611,1
29,1625,42.28205917,13.25,350,0,6.4685,-83.75111611,1
30,1625,42.28205917,18.44999886,350,0,6.4685,-83.75111611,1
31,1625,42.28205917,23.89999962,350,0,6.4175,-83.75111611,1
32,1625,42.28205917,23.89999962,350,0,6.4685,-83.75111611,1
33,1625,42.28205917,23.89999962,350,0,7.36125,-83.75111611,1
34,1625,42.28205917,28.13999939,350,0,7.36125,-83.75111611,1
35,1625,42.282215,28.13999939,350,0,7.36125,-83.7511425,1
36,1625,42.282215,29.34000015,350,0,-10.57,-83.7511425,1
37,1625,42.282215,30.09000015,350,0,-10.57,-83.7511425,1
38,1625,42.282215,30.64999962,350,0,-10.57,-83.7511425,1
39,1625,42.282215,30.64999962,350,0,7.36125,-83.7511425,1
40,1625,42.2823725,0.0,0,0,-0.758,-83.74822694,1
41,1625,42.2823725,3.649999857,0,0,-14.553,-83.74822694,1
42,1625,42.2823725,3.649999857,0,0,-0.758,-83.74822694,1
43,1625,42.2823725,3.649999857,350,0,-14.553,-83.74822694,1
44,1625,42.2823725,12.5,350,0,-14.553,-83.74822694,1
45,1625,42.2823725,20.52000046,350,0,-23.247,-83.74822694,1
46,1625,42.2823725,20.52000046,350,0,-14.553,-83.74822694,1
47,1625,42.282375,20.52000046,350,0,-23.247,-83.74838444,1
48,1625,42.282375,26.52999878,350,0,-24.57,-83.74838444,1
49,1625,42.282375,26.52999878,350,0,-23.247,-83.74838444,1
50,1625,42.282375,31.29999924,350,0,-24.57,-83.74838444,1
51,1625,42.282375,31.29999924,350,0,-21.924,-83.74838444,1
52,1625,42.282375,31.29999924,350,0,-21.489,-83.74838444,1
53,1625,42.282375,34.47999954,350,0,-21.489,-83.74838444,1
54,1625,42.282375,34.47999954,350,0,-14.26425,-83.74838444,1
55,1625,42.28238583,24.04999924,350,0,-27.713,-83.75104278,1
56,1625,42.28238583,29.09999847,350,0,-27.713,-83.75104278,1
57,1625,42.28238583,29.09999847,350,0,-25.65325,-83.75104278,1
58,1625,42.28238583,29.34000015,350,0,-10.57,-83.75104278,1
59,1625,42.28238583,29.34000015,350,0,-7.55,-83.75104278,1
60,1625,42.28238583,29.97999954,350,0,-25.65325,-83.75104278,1
61,1625,42.28238583,29.97999954,350,0,-7.55,-83.75104278,1
62,1625,42.28238583,29.97999954,350,0,-7.49,-83.75104278,1
63,1625,42.28239028,34.47999954,350,0,-14.26425,-83.74869083,1
64,1625,42.28239028,35.57999802,350,0,0.55575,-83.74869083,1
65,1625,42.28239028,36.09999847,350,0,-14.26425,-83.74869083,1
66,1625,42.28239028,36.09999847,350,0,-8.151,-83.74869083,1
67,1625,42.28239028,36.13000107,350,0,-8.151,-83.74869083,1
68,1625,42.28239028,36.13000107,350,0,0.55575,-83.74869083,1
69,1625,42.28239944,26.79999924,350,0,5.1435,-83.74903222,1
70,1625,42.28239944,26.79999924,350,0,9.144,-83.74903222,1
71,1625,42.28239944,31.1099987,350,0,3.81,-83.74903222,1
72,1625,42.28239944,31.1099987,350,0,5.1435,-83.74903222,1
73,1625,42.28239944,35.31999969,350,0,0.55575,-83.74903222,1
74,1625,42.28239944,35.31999969,350,0,3.705,-83.74903222,1
75,1625,42.28239944,35.31999969,350,0,3.81,-83.74903222,1
76,1625,42.28239944,35.57999802,350,0,0.55575,-83.74903222,1
77,1625,42.28242333,21.6099987,350,0,14.478,-83.74931639,1
78,1625,42.28242333,26.79999924,350,0,9.144,-83.74931639,1
79,1625,42.28243944,8.420000076,350,0,2.66,-83.74941611,1
80,1625,42.28243944,8.420000076,350,0,2.667,-83.74941611,1
81,1625,42.28243944,8.420000076,350,0,6.858,-83.74941611,1
82,1625,42.28243944,8.960000038,350,0,-0.76,-83.74941611,1
83,1625,42.28243944,8.960000038,350,0,2.66,-83.74941611,1
84,1625,42.28243944,14.92000008,350,0,6.858,-83.74941611,1
85,1625,42.28243944,14.92000008,350,0,14.478,-83.74941611,1
86,1625,42.28243944,16.21999931,350,0,-13.68,-83.74941611,2
87,1625,42.28243944,16.21999931,350,0,-0.76,-83.74941611,1
88,1625,42.28243944,21.6099987,350,0,14.478,-83.74941611,1
89,1625,42.28244056,0.0,0,0,-0.94625,-83.74816167,1
90,1625,42.28244056,0.0,0,0,-0.758,-83.74816167,1
91,1625,42.28244056,0.0,0,0,-0.757,-83.74816167,1
92,1625,42.28244056,0.0,0,0,-0.5685,-83.74816167,1
93,1625,42.28244056,0.0,0,0,-0.56775,-83.74816167,1
94,1625,42.28244056,0.0,0,0,-0.379,-83.74816167,2
95,1625,42.28244056,0.0,0,0,-0.3785,-83.74816167,1
96,1625,42.28246417,35.63000107,350,0,-21.489,-83.75005556,1
97,1625,42.28246417,40.0,350,0,-21.489,-83.75005556,1
98,1625,42.28246417,40.0,350,0,-20.3775,-83.75005556,1
99,1625,42.28246417,40.62999725,350,0,7.7805,-83.75005556,1
100,1625,42.28246417,41.61000061,350,0,-20.3775,-83.75005556,1
101,1625,42.282485,16.21999931,350,0,-13.68,-83.74972278,1
102,1625,42.282485,23.31999969,350,0,-20.14,-83.74972278,1
103,1625,42.282485,30.21999931,350,0,-22.8,-83.74972278,1
104,1625,42.282485,30.21999931,350,0,-20.14,-83.74972278,1
105,1625,42.282485,35.63000107,350,0,-22.8,-83.74972278,1
106,1625,42.282485,35.63000107,350,0,-22.04,-83.74972278,1
107,1625,42.282485,35.63000107,350,0,-21.489,-83.74972278,1
108,1625,42.28248778,30.38999939,350,0,9.37125,-83.7504725,1
109,1625,42.28248778,30.38999939,350,0,11.475,-83.7504725,1
110,1625,42.28248778,36.27000046,350,0,11.115,-83.7504725,1
111,1625,42.28248778,36.27000046,350,0,11.475,-83.7504725,1
112,1625,42.28248778,36.27000046,350,0,11.67075,-83.7504725,1
113,1625,42.28248778,37.64999771,350,0,7.7805,-83.7504725,1
114,1625,42.28248778,37.64999771,350,0,11.67075,-83.7504725,1
115,1625,42.28248778,40.62999725,350,0,7.7805,-83.7504725,1
116,1625,42.28249278,0.0,300,0,-1.895,-83.75093056,1
117,1625,42.28249278,8.38999939,300,0,-20.03575,-83.75093056,1
118,1625,42.28249278,8.38999939,300,0,-1.895,-83.75093056,1
119,1625,42.28249278,8.38999939,350,0,-20.03575,-83.75093056,1
120,1625,42.28249278,17.52999878,350,0,-20.03575,-83.75093056,1
121,1625,42.28249278,24.04999924,350,0,-27.713,-83.75093056,1
122,1625,42.28249278,24.04999924,350,0,-20.03575,-83.75093056,1
123,1625,42.28249667,0.0,300,0,-1.895,-83.75078444,1
124,1625,42.28249667,0.0,300,0,-1.3265,-83.75078444,1
125,1625,42.28249667,0.0,350,0,-1.3265,-83.75078444,1
126,1625,42.28249667,0.0,350,0,0.95625,-83.75078444,1
127,1625,42.28249667,10.59999943,350,0,0.95625,-83.75078444,1
128,1625,42.28249667,20.78999901,350,0,5.54625,-83.75078444,1
129,1625,42.28249667,20.78999901,350,0,9.37125,-83.75078444,1
130,1625,42.28249667,30.38999939,350,0,9.37125,-83.75078444,1
131,1625,42.28252583,0.0,0,0,-0.94625,-83.74807917,3
132,1625,42.28252583,0.0,0,0,-0.758,-83.74807917,3
133,1625,42.28252583,0.0,0,0,-0.757,-83.74807917,4
134,1625,42.28252583,0.0,0,0,-0.56775,-83.74807917,1
135,1625,42.28252583,0.0,0,0,-0.379,-83.74807917,2
136,1625,42.28252583,0.0,0,0,-0.3785,-83.74807917,1
137,1625,42.28252583,0.0,350,0,-0.758,-83.74807917,1
138,1625,42.28252583,0.0,350,0,1.516,-83.74807917,1
139,1625,42.28252583,7.789999962,350,0,1.53,-83.74807917,2
140,1625,42.28252583,13.71000004,350,0,1.53,-83.74807917,1
141,1625,42.28253528,13.71000004,350,0,1.53,-83.7479325,1
142,1625,42.28253528,13.71000004,350,0,14.1525,-83.7479325,1
